gene,gnomAD_syn_<1e-5,gnomAD_syn_1e-5~1e-4,gnomAD_syn_1e-4~1e-3,gnomAD_syn_1e-3~1e-2,gnomAD_syn_1e-2<,gnomAD_mis_<1e-5,gnomAD_mis_1e-5~1e-4,gnomAD_mis_1e-4~1e-3,gnomAD_mis_1e-3~1e-2,gnomAD_mis_1e-2<,gnomAD_stopgain_<1e-5,gnomAD_stopgain_1e-5~1e-4,gnomAD_stopgain_1e-4~1e-3,gnomAD_stopgain_1e-3~1e-2,gnomAD_stopgain_1e-2<,RGC-ME_syn_<1e-5,RGC-ME_syn_1e-5~1e-4,RGC-ME_syn_1e-4~1e-3,RGC-ME_syn_1e-3~1e-2,RGC-ME_syn_1e-2<,RGC-ME_mis_<1e-5,RGC-ME_mis_1e-5~1e-4,RGC-ME_mis_1e-4~1e-3,RGC-ME_mis_1e-3~1e-2,RGC-ME_mis_1e-2<,RGC-ME_stopgain_<1e-5,RGC-ME_stopgain_1e-5~1e-4,RGC-ME_stopgain_1e-4~1e-3,RGC-ME_stopgain_1e-3~1e-2,RGC-ME_stopgain_1e-2<,non_nsite,mis_nsite,ssite,is_cRDHGs
PIGZ,64,67,10,6,5,136,125,20,7,4,7,1,0,0,0,281,58,12,5,4,583,94,20,5,4,37,3,0,0,0,7.395472e-07,1.97193822e-05,9.602961199999994e-06,False
BHLHE40,41,32,7,3,1,52,60,6,2,0,0,0,0,0,0,177,26,6,1,1,317,51,4,1,0,2,0,0,0,0,4.034906999999998e-07,1.1604102200000008e-05,5.265133099999997e-06,False
OR52E5,23,21,3,3,2,82,60,10,3,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.952353999999999e-07,8.996736099999995e-06,3.2736121999999992e-06,False
POLR2J,12,5,1,0,0,8,6,0,0,0,3,0,0,0,0,11,2,0,0,0,22,1,0,0,0,3,0,0,0,0,1.905032e-07,2.2977850000000005e-06,1.2652490999999998e-06,False
ENSG00000284461,21,21,2,0,0,31,32,4,2,0,1,1,0,0,0,86,17,1,0,0,192,16,1,1,0,7,0,0,0,0,5.147509999999998e-07,7.518575299999992e-06,3.6327071e-06,False
LIG4,70,45,4,3,2,162,144,18,4,3,7,6,0,0,0,282,37,4,3,1,848,108,16,3,2,34,2,1,0,0,1.2791330999999991e-06,2.3798223499999996e-05,7.638522300000001e-06,False
KHDRBS1,55,38,5,1,1,81,36,2,0,0,1,0,0,0,0,183,33,2,1,1,391,26,1,0,0,2,0,0,0,0,5.901686999999998e-07,1.4149430299999975e-05,5.524942699999997e-06,False
BICRAL,91,65,7,3,1,180,110,16,3,1,0,0,0,0,0,343,51,7,2,2,820,94,15,6,0,4,0,0,0,0,1.3982811000000005e-06,2.759873530000004e-05,1.204486969999998e-05,False
PPIB,18,20,3,0,2,44,30,2,0,0,1,1,0,0,0,94,17,2,0,2,238,29,1,0,0,9,1,0,0,0,1.6440609999999996e-07,6.592178799999996e-06,3.029510899999999e-06,False
ZMIZ1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,120,19,5,2,786,103,8,0,0,3,0,0,0,0,1.3999814000000015e-06,4.0047736599999953e-05,2.0977502500000068e-05,False
TBPL2,25,23,5,3,0,68,38,6,1,1,3,3,2,0,0,110,23,3,3,0,319,28,2,1,1,13,3,1,0,0,6.097704000000002e-07,8.569792600000024e-06,3.451995600000003e-06,False
ACTR3B,25,27,6,2,1,33,25,2,1,0,2,0,0,0,0,78,23,6,0,0,174,10,1,0,0,4,0,0,0,0,4.709760000000001e-07,1.0174838200000014e-05,4.617372699999998e-06,False
KCNJ8,45,19,5,2,1,49,19,4,1,1,4,0,0,0,0,171,17,3,3,0,219,15,2,2,0,5,0,0,0,0,9.870327e-07,1.3533705300000004e-05,4.586081100000001e-06,False
THOC3,6,6,0,0,0,17,7,0,0,0,1,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6.202120000000002e-08,2.0930405999999983e-06,7.981568000000002e-07,False
POLR1B,87,75,9,3,4,185,99,13,6,1,2,1,0,0,0,363,63,9,4,2,794,84,18,2,1,18,0,0,0,0,1.8759319000000008e-06,3.3491337999999925e-05,1.1702790799999998e-05,False
TOPAZ1,125,75,12,7,4,312,220,35,14,5,4,0,0,0,0,554,70,8,8,1,1423,176,32,9,4,41,0,0,0,0,2.892830199999998e-06,4.053629130000005e-05,1.4651373399999992e-05,False
POLR2G,14,9,2,0,0,25,8,0,0,0,4,1,0,0,0,58,8,2,0,0,90,7,0,0,0,8,1,0,0,0,2.9491600000000004e-07,4.804259700000003e-06,1.7798778000000005e-06,False
ZCCHC4,36,30,5,0,0,130,69,10,8,7,3,4,1,0,0,165,26,3,0,0,446,57,7,9,4,19,3,1,0,0,1.0483472000000012e-06,1.3559121999999982e-05,5.039939e-06,False
ENSG00000289791,21,25,1,0,1,71,39,7,0,4,7,1,0,0,0,89,10,0,1,1,193,22,3,2,2,10,1,0,0,0,4.062234000000001e-07,8.388818299999992e-06,3.6275627000000047e-06,False
OR2J3,2,5,0,0,0,2,1,0,0,2,1,0,0,0,0,7,1,0,0,0,18,1,0,0,2,0,1,0,0,0,1.18507e-07,6.316696e-07,2.3244870000000007e-07,False
CARD16,9,9,0,0,0,11,20,10,1,0,0,0,1,0,0,11,4,1,0,0,37,11,6,0,0,0,1,0,0,0,1.4447060000000005e-07,2.3802352999999973e-06,9.843284999999997e-07,False
SHISA9,41,37,6,1,2,100,61,2,0,1,0,0,0,0,0,197,27,5,1,1,479,37,4,0,1,5,0,0,0,0,5.331531999999998e-07,1.4361635000000016e-05,6.610403100000008e-06,False
C17orf97,46,53,14,4,5,101,83,17,4,7,2,4,0,1,0,160,26,4,0,2,318,61,8,1,1,14,1,1,0,0,2.466072e-07,1.4451810500000024e-05,7.026002999999996e-06,False
TMEM191C,13,5,1,2,0,20,11,4,3,1,2,1,0,0,0,12,2,1,0,0,19,5,0,0,0,2,0,0,0,0,1.18378e-07,1.7148459999999994e-06,8.456399999999999e-07,False
IGFBP2,44,27,3,1,0,68,38,3,0,0,1,0,0,0,0,147,25,3,0,0,263,35,3,0,0,3,0,0,0,0,4.188169000000002e-07,1.0665033100000012e-05,4.754071299999995e-06,False
ENSG00000289027,75,50,11,4,2,173,137,13,3,0,12,1,0,0,0,292,41,11,2,2,815,89,6,2,0,37,0,0,0,0,1.9564781999999987e-06,2.919985120000005e-05,8.444826000000009e-06,False
CD48,19,20,3,1,4,58,36,6,2,2,0,1,0,0,0,95,10,3,3,2,240,28,6,2,1,14,0,0,0,0,2.416220000000001e-07,6.133174800000003e-06,2.9949544999999986e-06,False
DCDC1,175,91,24,5,4,372,253,38,14,7,21,11,5,0,0,430,73,11,2,2,1221,150,27,8,3,69,6,2,0,0,3.419093099999997e-06,4.484043269999994e-05,1.7098113600000034e-05,False
GDA,25,31,6,1,0,70,59,5,1,1,0,0,0,0,0,117,18,4,0,0,254,41,4,0,1,7,0,0,0,0,5.697032999999998e-07,1.1716572899999997e-05,5.046134699999993e-06,False
LBX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,10,1,1,1,265,21,6,0,0,3,0,0,0,0,3.0250630000000005e-07,7.894314500000001e-06,3.925919200000001e-06,False
PEX11G,28,27,4,1,2,67,55,11,2,2,3,4,0,1,0,113,22,3,0,2,219,52,10,0,2,15,3,1,1,0,4.782565999999999e-07,9.790740399999997e-06,4.991696500000002e-06,False
GRAMD2A,23,17,4,1,0,76,42,10,3,1,0,2,0,0,0,114,14,4,0,0,303,40,7,2,1,11,2,0,0,0,4.516746000000002e-07,9.013722499999998e-06,3.361164299999997e-06,False
TNNI2,24,29,8,3,1,37,32,1,0,0,1,1,0,0,0,79,26,6,1,1,156,24,2,0,0,3,1,0,0,0,2.33921e-07,7.320056100000004e-06,3.158745599999999e-06,False
POP1,86,71,7,2,5,194,154,30,4,2,14,6,1,0,0,320,54,10,6,1,863,126,19,4,2,52,3,1,0,0,2.0841424e-06,2.9306096799999853e-05,1.1881548899999994e-05,False
PDCD11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,112,23,1,3,1682,225,37,12,4,53,2,0,0,0,2.8875202999999973e-06,5.540951039999968e-05,2.4821413199999984e-05,False
ANGPTL6,60,40,4,3,0,148,118,12,2,2,7,6,1,0,0,270,34,4,1,2,583,87,20,2,2,29,5,1,0,0,8.844316999999996e-07,1.611908800000001e-05,6.845019099999991e-06,False
CLEC4G,42,19,5,1,3,77,33,7,3,1,2,2,0,0,0,91,16,7,1,2,196,17,5,3,0,15,1,0,0,0,3.999280000000001e-07,8.432692099999996e-06,4.311992099999997e-06,False
STXBP5,116,59,14,5,4,170,113,8,5,1,3,1,0,0,0,405,53,9,3,3,918,85,8,3,1,18,1,0,0,0,2.103935400000001e-06,3.1341741499999995e-05,1.2443142700000014e-05,False
SEL1L3,106,79,16,5,5,196,153,20,9,2,7,2,0,0,0,395,63,12,8,2,929,119,21,4,1,43,2,0,0,0,1.896847599999999e-06,3.202607520000019e-05,1.3774279799999971e-05,False
BDKRB1,42,31,6,5,2,70,75,15,3,1,5,3,0,1,0,149,24,7,3,2,285,68,15,4,0,16,1,0,1,0,5.534866000000003e-07,1.0284972499999978e-05,4.4025278000000015e-06,False
HHEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,24,1,0,1,276,24,3,1,0,2,0,0,0,0,3.428832e-07,7.635447499999993e-06,3.6945086000000007e-06,False
PSKH2,36,16,6,3,2,73,61,11,5,4,7,3,0,0,0,152,19,6,3,0,419,56,13,3,4,22,2,0,0,0,5.763750999999998e-07,1.1327740700000007e-05,4.638317600000005e-06,False
NDC1,62,36,7,1,0,128,87,13,5,0,1,0,0,0,0,232,29,5,1,0,524,74,9,4,0,12,0,0,0,0,9.06008e-07,1.6313831899999958e-05,6.093713799999998e-06,False
C12orf75,3,7,0,0,0,18,15,1,0,0,0,0,0,0,0,19,6,0,0,0,50,13,1,0,0,0,0,0,0,0,4.331470000000001e-08,2.0099482e-06,8.076944000000003e-07,False
FIGLA,23,17,0,1,1,43,32,10,0,1,3,1,0,0,0,100,15,0,1,1,201,38,7,0,1,11,0,0,0,0,1.8324600000000003e-07,6.127280199999983e-06,2.7854056000000047e-06,False
RECK,70,49,9,2,4,165,133,14,2,3,4,4,1,0,0,312,43,6,3,2,812,103,13,2,2,35,4,0,0,0,1.5995973999999996e-06,2.6700209900000025e-05,1.0295689e-05,False
RPSA,21,15,0,0,1,23,15,0,0,0,1,0,0,0,0,53,7,0,0,1,77,8,0,0,0,0,0,0,0,0,2.8849160000000004e-07,7.345327900000001e-06,2.294466699999998e-06,False
PHGR1,13,7,1,1,0,20,13,2,2,1,0,1,0,0,0,21,4,0,0,0,55,5,1,0,0,2,0,0,0,0,7.5991e-08,3.4997509e-06,1.6695212000000007e-06,False
OR7A17,23,19,4,1,4,86,46,5,6,3,0,1,0,0,0,134,12,4,0,2,299,26,6,3,1,15,0,0,0,0,2.0186610000000006e-07,7.330360600000008e-06,2.823659799999997e-06,False
CABP7,21,19,0,1,1,34,32,2,0,0,1,0,0,0,0,79,26,0,1,1,177,30,2,0,0,4,0,0,0,0,2.845617e-07,7.620470400000003e-06,3.5711812000000006e-06,False
CCDC66,65,44,7,5,6,194,141,27,7,7,15,17,1,1,0,326,30,12,5,4,873,111,20,5,8,65,16,1,2,1,2.0724628e-06,2.170132050000004e-05,7.732676700000002e-06,False
PHF7,32,25,3,3,3,73,26,4,1,1,2,0,0,0,0,115,17,3,3,2,286,29,1,2,0,13,0,0,0,0,6.566583999999995e-07,9.628712e-06,3.7801758000000014e-06,False
OR6C6,19,20,3,1,1,74,43,13,4,4,2,0,1,1,0,111,12,1,0,1,302,41,10,3,3,12,0,1,1,0,2.54455e-07,7.896621199999999e-06,3.0132957e-06,False
LEMD1,12,13,2,1,0,38,29,2,3,3,1,2,0,0,0,79,10,3,1,0,169,22,3,1,3,9,1,0,0,0,1.8151229999999997e-07,4.534489499999998e-06,1.952735299999999e-06,False
FANCG,61,37,6,2,0,131,77,11,4,2,10,2,0,0,0,250,27,4,0,0,520,69,11,5,0,35,3,0,0,0,8.112348999999997e-07,1.750999160000003e-05,7.201939700000001e-06,False
CCDC127,15,22,3,0,2,27,30,5,1,1,4,0,1,0,0,81,14,2,0,2,215,28,5,2,0,17,0,1,0,0,4.2659770000000004e-07,6.165127699999999e-06,2.2995195e-06,False
OR8B8,23,22,4,1,2,64,49,9,5,0,1,3,0,0,0,94,22,4,1,2,331,41,9,3,0,8,2,1,0,0,1.596666e-07,7.955698099999997e-06,3.672936400000002e-06,False
TMEM127,27,23,4,0,1,55,40,5,1,0,2,1,0,0,0,120,18,5,0,1,234,29,4,0,0,20,1,0,0,0,2.1492170000000002e-07,7.814233800000004e-06,4.094647000000002e-06,False
RAI1,226,229,32,11,6,393,337,38,5,2,1,0,0,0,0,788,179,27,10,4,1468,278,30,5,2,4,0,0,0,0,2.1330456000000004e-06,6.771947819999991e-05,3.3450075300000054e-05,False
TRMT10A,26,15,0,0,0,43,44,5,1,0,1,3,1,0,0,92,11,1,0,0,267,34,7,1,0,18,3,1,0,0,1.0162823000000005e-06,8.803298000000002e-06,3.0706512e-06,False
CFAP69,64,41,10,5,5,193,128,10,4,4,8,4,1,0,0,279,38,10,5,4,788,100,13,5,3,37,3,1,0,0,1.5299464000000003e-06,2.294028309999998e-05,8.39041530000002e-06,False
ZFYVE21,30,28,5,2,1,52,37,5,2,1,0,0,0,0,0,106,20,2,2,1,241,40,4,0,1,11,0,0,0,0,2.634632000000001e-07,8.070325500000001e-06,3.781935600000002e-06,False
PPP2R2C,47,53,13,1,2,61,33,1,0,0,1,0,0,0,0,193,41,10,3,1,246,19,2,0,0,2,0,0,0,0,4.904312000000001e-07,1.7577334300000027e-05,8.3543527e-06,False
C2CD4C,73,64,7,4,4,142,96,10,4,1,3,0,0,0,0,282,51,7,7,1,507,73,7,5,0,5,1,0,0,0,3.257539e-07,1.7101617299999973e-05,8.703156100000003e-06,False
ZNF420,48,28,5,1,4,108,59,11,0,0,10,5,1,0,0,201,22,3,3,2,578,59,3,0,0,42,1,0,0,0,1.5543181999999998e-06,1.9547395199999985e-05,6.305031899999994e-06,False
STMN2,18,14,2,1,0,24,3,2,0,0,0,0,0,0,0,69,11,1,1,0,109,5,0,0,0,2,0,0,0,0,3.8619070000000004e-07,5.343342199999997e-06,2.0358031000000003e-06,False
EMC3,27,15,4,2,1,29,26,0,1,0,1,0,0,0,0,88,15,2,1,2,168,17,1,0,0,6,0,0,0,0,5.959772e-07,7.291803899999985e-06,2.7379385000000004e-06,False
MZT2A,17,21,4,1,2,36,33,7,6,2,1,2,0,0,0,49,13,0,1,0,95,34,7,3,2,4,1,0,0,0,1.129442e-07,4.655651599999995e-06,2.4121426000000005e-06,False
RFX4,64,55,9,0,3,133,81,7,3,0,0,0,0,0,0,236,48,7,1,2,520,62,12,1,2,5,0,0,0,0,1.3262804999999993e-06,2.234926029999996e-05,9.704644399999992e-06,False
ENSG00000267552,11,5,2,0,0,26,18,1,0,3,1,2,0,0,0,42,4,1,0,0,115,12,1,0,3,8,0,0,0,0,1.921380999999999e-07,3.0798560999999936e-06,1.3666318999999994e-06,False
CALM3,19,10,2,4,0,4,2,0,0,0,0,0,0,0,0,61,8,3,2,0,42,0,0,0,0,1,0,0,0,0,1.7514580000000007e-07,4.276228000000003e-06,2.0176121000000007e-06,False
SEMA4C,85,70,13,3,1,130,127,13,4,1,1,0,0,0,1,359,57,11,2,1,619,118,17,4,1,12,0,0,0,1,1.0044761000000002e-06,3.065692380000003e-05,1.4248927699999992e-05,False
NUDT6,35,26,3,0,1,88,48,6,2,3,6,4,0,0,0,137,11,2,1,1,310,36,9,1,2,14,5,0,0,0,7.935272999999998e-07,8.528174599999998e-06,3.472949600000004e-06,False
OAZ2,15,16,0,1,0,26,21,0,1,0,2,0,0,0,0,53,11,0,1,0,134,17,2,0,0,2,0,0,0,0,3.669960000000001e-07,4.972394099999999e-06,2.265954100000001e-06,False
TAF4B,67,63,7,4,5,154,135,17,6,4,2,1,0,0,0,342,41,6,4,5,751,118,12,5,2,14,0,0,0,0,1.3912171999999984e-06,2.071838900000002e-05,8.62626119999999e-06,False
ZNF670,28,14,0,0,2,95,57,8,0,0,5,2,0,0,0,132,5,0,0,2,364,41,7,0,0,14,2,0,0,0,5.860008999999998e-07,9.563150500000023e-06,3.221344500000001e-06,False
ENSG00000291239,36,20,0,0,0,124,83,13,6,14,11,8,0,0,0,172,17,3,0,0,541,72,15,3,13,36,7,1,0,0,1.585051700000001e-06,1.7162722900000036e-05,5.880881399999999e-06,False
GORASP2,49,28,3,3,1,66,52,3,1,1,0,0,0,0,0,152,21,5,2,1,344,36,2,1,1,9,0,0,0,0,6.221258999999999e-07,1.1867983200000007e-05,5.246461600000002e-06,False
KNG1,45,49,6,0,5,131,109,9,1,5,4,5,0,0,0,212,42,1,0,5,596,74,9,0,5,18,4,0,0,0,1.0934212000000013e-06,1.747627369999997e-05,7.4353088999999935e-06,False
LRIG1,144,133,36,9,7,290,232,40,12,9,8,1,0,0,0,573,100,36,8,6,1310,181,33,11,8,41,1,0,0,0,1.4807584000000014e-06,3.775694889999992e-05,1.847862260000002e-05,False
TBATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,28,5,1,2,358,64,14,2,1,21,1,0,0,0,3.370316000000002e-07,1.1011552700000023e-05,4.503829200000002e-06,False
ZNF814,70,35,2,4,1,165,116,19,2,0,14,12,0,0,0,148,27,2,1,0,505,100,8,1,0,34,8,0,0,0,1.7300131000000009e-06,2.0225898099999954e-05,6.737374000000009e-06,False
SLX4IP,34,27,6,3,0,72,53,6,3,3,3,3,0,0,0,130,29,5,1,0,340,45,4,2,2,24,1,0,0,0,5.669935000000002e-07,1.0958955400000005e-05,4.059785400000003e-06,False
TTF2,89,65,14,9,3,237,168,23,13,6,14,7,0,0,0,378,56,11,6,2,1053,121,25,11,3,60,6,0,0,0,2.1721954000000004e-06,3.1705979999999915e-05,1.220881150000004e-05,False
NKX2-5,51,19,2,5,1,99,55,6,1,0,1,0,0,0,0,176,17,4,4,1,320,41,6,1,0,0,0,0,0,0,4.124936000000001e-07,9.270513799999992e-06,4.5123422000000014e-06,False
FOXN4,55,50,12,1,3,102,71,12,2,2,0,0,0,0,0,228,48,10,2,3,430,69,10,2,2,5,0,0,0,0,6.026582000000001e-07,1.8673333700000052e-05,9.945474899999997e-06,False
THAP5,25,13,1,0,1,80,54,5,0,1,2,3,0,0,0,110,15,1,1,0,338,39,5,1,0,24,1,0,0,0,6.725140999999998e-07,8.215802700000002e-06,2.8949425000000013e-06,False
SLC45A4,79,110,20,16,9,162,198,31,7,2,3,2,1,0,0,339,106,19,12,7,704,146,29,6,2,21,0,1,0,0,9.601297000000003e-07,3.0475703900000044e-05,1.6310952999999988e-05,False
MS4A2,24,13,0,2,0,39,42,6,3,2,3,2,1,0,0,95,11,3,0,0,218,27,6,2,1,9,0,0,1,0,2.0929840000000002e-07,5.510310799999991e-06,2.067675999999998e-06,False
MEIOB,34,31,4,0,1,107,51,8,7,3,4,2,0,0,0,153,15,4,0,1,387,41,9,3,4,20,1,0,0,0,7.506123000000002e-07,1.1103654700000016e-05,4.103154899999999e-06,False
LCE1E,10,9,2,3,3,19,31,5,3,3,2,1,0,0,0,12,5,2,1,1,59,10,2,1,0,1,0,0,0,0,1.135896e-07,2.7647980999999992e-06,1.0263835e-06,False
GIMAP1-GIMAP5,51,40,7,4,6,110,81,9,8,0,6,2,0,0,0,195,34,4,6,4,399,63,9,5,1,16,2,0,0,0,6.086848999999998e-07,1.456819399999998e-05,7.249347e-06,False
CKLF,9,6,3,2,0,27,25,1,0,0,2,0,1,0,0,46,4,3,2,0,124,21,0,0,0,4,1,0,0,0,2.0850990000000001e-07,3.940740700000003e-06,1.6577632000000006e-06,False
USP16,53,40,5,4,1,161,117,14,4,1,4,4,0,0,0,247,28,8,2,1,755,74,13,1,1,35,5,0,0,0,1.080231e-06,2.0402499200000004e-05,7.361049399999998e-06,False
C1QTNF9B,14,11,1,3,4,29,31,6,3,3,1,3,1,0,0,15,5,0,0,0,48,7,1,0,0,6,0,0,0,0,3.835682e-07,4.8115656e-06,2.336897599999997e-06,False
SHARPIN,53,39,15,2,1,97,76,11,6,4,3,3,0,0,0,193,40,10,0,1,414,48,15,2,4,20,2,0,0,0,4.842487e-07,1.2222191799999998e-05,5.687394299999999e-06,False
EIF4EBP3,12,5,0,0,2,23,24,1,0,0,2,1,0,0,0,38,3,0,2,0,92,16,0,0,0,8,1,0,0,0,1.8101269999999998e-07,3.0447928999999976e-06,1.4571548000000008e-06,False
SOWAHB,93,57,8,2,4,217,117,14,4,3,11,5,0,0,0,354,51,5,2,3,834,81,13,1,3,28,3,0,0,0,1.0331166e-06,2.101239839999998e-05,9.560035100000014e-06,False
ATAD2,106,84,14,3,3,238,169,18,4,0,5,1,0,0,0,458,62,8,4,2,1015,126,14,4,0,27,0,0,0,0,3.5651361000000005e-06,3.748820919999997e-05,1.241768739999999e-05,False
TMEM135,46,25,5,1,0,81,39,4,6,2,1,0,0,0,0,162,23,5,1,0,389,33,7,2,2,9,0,0,0,0,6.298833999999998e-07,1.1900475399999983e-05,4.341558599999996e-06,False
SCAMP2,34,24,2,1,3,64,38,5,2,0,3,1,0,0,0,120,23,2,2,1,268,34,7,1,1,9,2,0,0,0,5.645948999999999e-07,9.485789600000006e-06,4.341681500000002e-06,False
RRAS,18,27,7,2,1,64,42,4,4,0,4,2,0,0,0,81,22,7,1,1,197,41,3,2,0,6,0,0,0,0,2.099655e-07,8.225565399999999e-06,3.948343300000001e-06,False
CD47,31,15,4,0,0,61,31,4,0,0,0,0,0,0,0,99,16,2,0,0,164,17,5,0,0,2,0,0,0,0,3.176339999999999e-07,8.34428289999998e-06,3.710566500000003e-06,False
SACS,364,242,46,16,11,877,557,60,24,5,15,11,0,0,0,1590,207,40,15,7,4180,474,49,21,4,180,6,0,0,0,7.896740100000005e-06,0.0001169668737,4.363748319999995e-05,False
FBXO31,67,74,12,1,1,103,65,6,1,0,1,0,0,0,0,298,62,9,2,0,570,53,4,1,0,15,0,0,0,0,7.823422000000001e-07,2.244645560000001e-05,1.1689690499999988e-05,False
LCE6A,4,6,4,1,0,14,14,5,0,0,0,0,1,0,0,23,8,2,0,0,93,10,4,0,0,6,0,1,0,0,1.1218209999999997e-07,2.2393840000000005e-06,7.909767999999994e-07,False
KCMF1,24,16,2,2,0,48,31,1,0,0,0,0,0,0,0,115,10,3,1,0,253,22,0,0,0,1,0,0,0,0,5.162350000000001e-07,1.2498647300000004e-05,3.9939867000000015e-06,False
MST1R,137,126,13,7,0,303,244,38,5,4,16,6,1,2,0,570,99,20,2,1,1231,216,24,7,5,49,8,3,0,0,1.8713447e-06,4.669123250000028e-05,1.9417998199999967e-05,False
DCP2,42,32,3,1,3,97,59,2,0,0,0,0,0,0,0,150,26,4,1,2,406,33,2,0,0,16,1,0,0,0,8.845052000000007e-07,1.062796370000002e-05,3.7995509000000015e-06,False
FRYL,221,153,21,9,3,509,313,35,13,1,11,0,0,0,0,901,105,23,5,2,2352,233,32,11,1,84,0,0,0,0,5.0083466e-06,7.908669549999971e-05,2.9604093700000043e-05,False
RRS1,33,26,2,1,4,97,53,12,3,3,0,1,0,0,0,161,19,2,2,3,388,46,12,4,3,12,0,0,0,0,4.519057999999997e-07,1.0413804699999989e-05,4.639278700000007e-06,False
EFHD2,20,29,3,0,1,48,37,0,1,1,1,0,0,0,0,66,25,2,1,0,197,22,1,2,0,3,0,0,0,0,1.975555e-07,8.146546899999994e-06,3.8040712e-06,False
GPR21,27,26,2,3,0,75,47,7,2,0,1,1,0,0,0,123,19,8,2,0,344,35,4,1,0,9,0,0,0,0,3.675727000000001e-07,9.34700210000001e-06,3.641139499999999e-06,False
CDKN2D,19,9,1,0,1,36,24,2,0,0,0,0,0,0,0,69,9,2,0,1,168,16,0,0,0,2,0,0,0,0,8.88121e-08,6.188870900000004e-06,3.270366199999997e-06,False
OR13C2,18,14,6,2,1,61,51,10,2,6,2,0,0,0,0,56,8,4,1,1,159,21,4,1,0,6,1,0,0,0,1.6188649999999999e-07,5.851246900000008e-06,2.340172500000001e-06,False
HSPH1,75,57,17,4,2,152,81,8,6,1,3,0,0,0,0,319,44,16,0,3,690,60,13,3,1,19,0,0,0,0,1.4656765999999998e-06,2.157799219999989e-05,7.726638600000003e-06,False
FBXO47,30,20,4,2,0,101,61,10,2,2,4,3,0,0,0,118,16,4,1,0,363,54,6,2,2,17,1,0,0,0,6.185655000000003e-07,1.15126667e-05,3.900154399999996e-06,False
SLC12A2,105,67,20,4,2,202,131,15,2,0,3,1,0,0,0,429,58,11,4,1,997,109,11,1,0,24,0,0,0,0,1.762655e-06,3.372656350000005e-05,1.2422177200000029e-05,False
CRKL,32,24,5,1,0,41,18,2,1,0,0,0,0,0,0,146,22,4,0,0,228,21,0,1,0,4,0,0,0,0,2.884747e-07,8.61259579999999e-06,3.902711499999999e-06,False
OR8U1,2,3,0,0,0,3,1,1,0,1,0,0,0,0,0,3,2,0,0,1,9,1,0,0,0,1,0,0,0,0,0.0,9.83221e-08,1.65067e-08,False
SPACA1,25,16,2,2,1,83,43,2,2,0,1,0,0,0,0,108,15,3,2,0,260,31,4,1,0,7,0,0,0,0,3.362625e-07,8.415533299999977e-06,3.1976634000000005e-06,False
EXPH5,139,111,19,7,4,403,280,54,23,12,11,12,0,0,0,679,87,18,7,2,1909,223,44,15,10,95,11,1,0,0,3.2322905999999968e-06,5.1753410299999824e-05,2.0181457399999965e-05,False
NOTCH2,197,155,19,5,8,373,269,29,12,0,1,0,0,0,0,842,119,17,5,4,1793,201,31,8,0,15,0,0,0,0,3.032492300000001e-06,7.061023750000026e-05,2.5277518200000046e-05,False
IAPP,7,6,3,1,0,17,11,3,0,0,0,1,0,0,0,35,6,3,1,0,101,9,2,0,0,2,0,0,0,0,5.69524e-08,2.5579163999999995e-06,9.849523e-07,False
MINAR2,20,7,1,1,0,42,29,6,3,0,0,0,0,0,0,76,8,2,0,0,205,24,6,0,0,15,0,0,0,0,2.973667e-07,5.079349100000003e-06,1.8413081e-06,False
TEX12,8,6,2,0,1,24,10,1,2,0,0,0,0,0,0,37,5,2,0,1,81,11,1,2,0,1,0,0,0,0,2.827362000000001e-07,2.7386739000000016e-06,1.1536819e-06,False
SCYGR7,6,12,11,7,1,21,13,6,4,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.152356e-07,2.7053931999999994e-06,1.2564625e-06,False
TMEM233,11,7,1,1,1,14,20,2,1,0,1,0,0,0,0,52,5,2,0,1,96,14,1,1,0,3,0,0,0,0,9.94742e-08,3.207588000000002e-06,1.4782684e-06,False
GRK5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,43,9,1,1,429,59,5,3,3,10,0,0,0,0,8.284926000000008e-07,2.00726688e-05,9.322172100000014e-06,False
STAB2,223,213,49,16,10,564,438,77,23,7,16,17,0,0,0,934,185,36,12,9,2420,342,64,16,7,125,11,1,0,0,4.2703232999999964e-06,7.742166129999971e-05,3.622607520000004e-05,False
CNOT6,45,25,6,1,1,83,46,7,2,0,1,0,0,0,0,168,30,3,2,1,375,33,5,1,0,13,0,0,0,0,7.146926e-07,1.4443603999999998e-05,5.7630923e-06,False
METTL9,24,20,4,2,0,38,17,2,1,0,0,0,0,0,0,107,19,7,1,0,184,12,0,1,0,6,0,0,0,0,4.419597e-07,7.6198261000000065e-06,3.504549300000003e-06,False
