GenePair	ka	ks	kaks	ssite	nsite	scount	ncount	Human	Other	species	GeneType	similarity
ENSG00000139173-ENSMMUG00000000205	0.000934903	0.0304833	0.0306693	471.703	1070.3	14.0	1.0	ENSG00000139173	ENSMMUG00000000205	monkey	Other genes	0.9980544747081712
ENSG00000139174-ENSMMUG00000021733	0.00213852	0.0812473	0.0263211	619.831	1873.17	47.0	4.0	ENSG00000139174	ENSMMUG00000021733	monkey	Other genes	0.9752358490566038
ENSG00000139178-ENSMMUG00000008897	0.0280035	0.101749	0.275221	331.23	1129.77	31.0	31.0	ENSG00000139178	ENSMMUG00000008897	monkey	Other genes	0.9425051334702259
ENSG00000139182-ENSMMUG00000008899	0.0141515	0.147763	0.0957717	658.473	2209.53	86.0307	30.9693	ENSG00000139182	ENSMMUG00000008899	monkey	Other genes	0.9729166666666667
ENSG00000139187-ENSMMUG00000001418	0.0468033	0.0178731	2.61865	169.858	397.142	3.0	18.0	ENSG00000139187	ENSMMUG00000001418	monkey	Other genes	0.91005291005291
ENSG00000139190-ENSMMUG00000053354	0.00387214	0.0433854	0.0892498	94.9794	259.021	4.0	1.0	ENSG00000139190	ENSMMUG00000053354	monkey	Other genes	0.9915254237288136
ENSG00000139193-ENSMMUG00000014265	0.224107	0.383799	0.583918	154.483	439.517	45.9048	85.0952	ENSG00000139193	ENSMMUG00000014265	monkey	Other genes	0.2186046511627907
ENSG00000139197-ENSMMUG00000004242	0.000734265	0.0466671	0.0157341	554.428	1362.57	25.0	1.0	ENSG00000139197	ENSMMUG00000004242	monkey	Other genes	0.9666666666666667
ENSG00000139200-ENSMMUG00000050979	0.0	0.0506551	-0.0	288.966	539.034	14.0	0.0	ENSG00000139200	ENSMMUG00000050979	monkey	Other genes	0.9787234042553191
ENSG00000139209-ENSMMUG00000012331	0.0130792	0.0563968	0.231914	483.283	1157.72	26.0	15.0	ENSG00000139209	ENSMMUG00000012331	monkey	Other genes	0.9725776965265083
ENSG00000139211-ENSMMUG00000012458	0.00462076	0.0411213	0.112369	477.314	1085.69	19.0	5.0	ENSG00000139211	ENSMMUG00000012458	monkey	Other genes	0.9885057471264368
ENSG00000139218-ENSMMUG00000023791	0.0214014	0.0399434	0.535793	1063.77	3277.23	41.0	69.0	ENSG00000139218	ENSMMUG00000023791	monkey	Other genes	0.9419398907103825
ENSG00000139219-ENSMMUG00000011444	0.00278393	0.0502553	0.0553958	1581.3	2879.7	76.0	8.0	ENSG00000139219	ENSMMUG00000011444	monkey	Other genes	0.9946200403496974
ENSG00000139220-ENSMMUG00000013804	0.000704096	0.0470408	0.0149678	929.086	2841.91	42.0	2.0	ENSG00000139220	ENSMMUG00000013804	monkey	Other genes	0.9984089101034208
ENSG00000139233-ENSMMUG00000051822	0.0157341	0.0		65.7041	321.296	0.0	5.0	ENSG00000139233	ENSMMUG00000051822	monkey	Other genes	0.9689922480620154
ENSG00000139263-ENSMMUG00000004233	0.0103258	0.0798078	0.129383	918.888	2438.11	69.0	25.0	ENSG00000139263	ENSMMUG00000004233	monkey	Other genes	0.9776586237712243
ENSG00000139266-ENSMMUG00000046540	0.00481639	0.0510716	0.0943066	204.741	833.259	10.0	4.0	ENSG00000139266	ENSMMUG00000046540	monkey	Other genes	0.9884393063583815
ENSG00000139278-ENSMMUG00000012290	0.139994	0.250008	0.559958	162.488	578.512	34.1591	73.8409	ENSG00000139278	ENSMMUG00000012290	monkey	Other genes	0.4298056155507559
ENSG00000139287-ENSMMUG00000007730	0.00693521	0.0409822	0.169225	455.649	1014.35	18.0	7.0	ENSG00000139287	ENSMMUG00000007730	monkey	Other genes	0.9877551020408163
ENSG00000139289-ENSMMUG00000064103	0.0033672	0.160297	0.021006	184.625	595.375	26.0	2.0	ENSG00000139289	ENSMMUG00000064103	monkey	Other genes	0.6216867469879518
ENSG00000139291-ENSMMUG00000020948	0.0114729	0.0584922	0.196145	303.571	704.429	17.0	8.0	ENSG00000139291	ENSMMUG00000020948	monkey	Other genes	0.9761904761904762
ENSG00000139292-ENSMMUG00000020942	0.0109026	0.0412755	0.264141	948.557	1772.44	37.8411	19.1589	ENSG00000139292	ENSMMUG00000020942	monkey	Other genes	0.9790518191841234
ENSG00000139304-ENSMMUG00000037711	0.0147212	0.0440663	0.334069	1668.65	5228.35	70.8365	76.1635	ENSG00000139304	ENSMMUG00000037711	monkey	Other genes	0.9678120922140061
ENSG00000139318-ENSMMUG00000054968	0.00113843	0.0853004	0.0133462	263.837	879.163	21.0	1.0	ENSG00000139318	ENSMMUG00000054968	monkey	Other genes	0.9973753280839895
ENSG00000139323-ENSMMUG00000003574	0.00672954	0.0345294	0.194893	388.828	1045.17	13.0	7.0	ENSG00000139323	ENSMMUG00000003574	monkey	Other genes	0.9853556485355649
ENSG00000139324-ENSMMUG00000015864	0.00847121	0.0608007	0.139327	666.146	2075.85	38.5186	17.4814	ENSG00000139324	ENSMMUG00000015864	monkey	Other genes	0.9814004376367614
ENSG00000139329-ENSMMUG00000016995	0.00840742	0.0421431	0.199497	295.175	718.825	12.0	6.0	ENSG00000139329	ENSMMUG00000016995	monkey	Other genes	0.9822485207100592
ENSG00000139330-ENSMMUG00000051017	0.00726663	0.0507467	0.143194	324.709	731.291	15.7141	5.28588	ENSG00000139330	ENSMMUG00000051017	monkey	Other genes	0.9480874316939891
ENSG00000139344-ENSMMUG00000009304	0.0676365	0.152045	0.444847	318.02	953.98	43.349	61.651	ENSG00000139344	ENSMMUG00000009304	monkey	Other genes	0.8523489932885906
ENSG00000139350-ENSMMUG00000004093	0.0103746	0.0418064	0.248157	522.814	1457.19	21.0	15.0	ENSG00000139350	ENSMMUG00000004093	monkey	Other genes	0.9772727272727273
ENSG00000139351-ENSMMUG00000063989	0.005355	0.0650555	0.0823143	145.499	562.501	9.0	3.0	ENSG00000139351	ENSMMUG00000063989	monkey	Other genes	0.9872881355932204
ENSG00000139352-ENSMMUG00000005747	0.0	0.159603	-0.0	112.768	589.232	16.0	0.0	ENSG00000139352	ENSMMUG00000005747	monkey	Other genes	0.975
ENSG00000139354-ENSMMUG00000020360	0.0203991	0.0752788	0.27098	538.157	1543.84	38.0	31.0	ENSG00000139354	ENSMMUG00000020360	monkey	Other genes	0.9567723342939481
ENSG00000139364-ENSMMUG00000020804	0.014361	0.0912836	0.157322	817.949	2431.05	69.4245	34.5755	ENSG00000139364	ENSMMUG00000020804	monkey	Other genes	0.9278169014084507
ENSG00000139370-ENSMMUG00000005767	0.0127838	0.0650152	0.196628	468.559	1262.44	29.0	16.0	ENSG00000139370	ENSMMUG00000005767	monkey	Other genes	0.9740034662045061
ENSG00000139372-ENSMMUG00000021291	0.0103046	0.0416123	0.247633	349.762	880.238	14.0	9.0	ENSG00000139372	ENSMMUG00000021291	monkey	Other genes	0.9780487804878049
ENSG00000139405-ENSMMUG00000056457	0.0321476	0.0819883	0.3921	234.252	572.748	18.0	18.0	ENSG00000139405	ENSMMUG00000056457	monkey	Other genes	0.856655290102389
ENSG00000139410-ENSMMUG00000020665	0.0196934	0.133723	0.14727	258.42	728.58	30.8965	14.1035	ENSG00000139410	ENSMMUG00000020665	monkey	Other genes	0.9574468085106383
ENSG00000139428-ENSMMUG00000060209	0.026454	0.108671	0.243432	180.336	551.664	17.6652	14.3348	ENSG00000139428	ENSMMUG00000060209	monkey	Other genes	0.92
ENSG00000139436-ENSMMUG00000010484	0.0184286	0.0743771	0.247772	630.782	1589.22	44.0829	28.9171	ENSG00000139436	ENSMMUG00000010484	monkey	Other genes	0.9499341238471674
ENSG00000139437-ENSMMUG00000031562	0.0260112	0.118242	0.219982	421.524	1060.48	45.0	27.0	ENSG00000139437	ENSMMUG00000031562	monkey	Other genes	0.8637200736648251
ENSG00000139438-ENSMMUG00000060613	0.00771124	0.0900344	0.0856476	311.419	1044.58	26.0	8.0	ENSG00000139438	ENSMMUG00000060613	monkey	Other genes	0.9823008849557522
ENSG00000139445-ENSMMUG00000020375	0.00433334	0.0971091	0.0446234	392.998	1158.0	35.0	5.0	ENSG00000139445	ENSMMUG00000020375	monkey	Other genes	0.9903288201160542
ENSG00000139496-ENSMMUG00000018420	0.069568	0.155607	0.447073	479.706	1311.29	66.9094	87.0906	ENSG00000139496	ENSMMUG00000018420	monkey	Other genes	0.8065967016491754
ENSG00000139505-ENSMMUG00000018419	0.00755702	0.0617656	0.12235	526.474	1330.53	31.0	10.0	ENSG00000139505	ENSMMUG00000018419	monkey	Other genes	0.9050445103857567
ENSG00000139508-ENSMMUG00000013721	0.0273313	0.0689795	0.396224	365.563	1014.44	23.8286	27.1714	ENSG00000139508	ENSMMUG00000013721	monkey	Other genes	0.9501084598698482
ENSG00000139514-ENSMMUG00000008661	0.00655307	0.10616	0.0617281	507.502	1379.5	49.0	9.0	ENSG00000139514	ENSMMUG00000008661	monkey	Other genes	0.985691573926868
ENSG00000139515-ENSMMUG00000064615	0.00301428	0.0902264	0.033408	177.98	665.02	15.0	2.0	ENSG00000139515	ENSMMUG00000064615	monkey	Other genes	0.9858657243816255
ENSG00000139517-ENSMMUG00000058786	0.010406	0.0724666	0.143597	617.196	1452.8	42.0	15.0	ENSG00000139517	ENSMMUG00000058786	monkey	Other genes	0.9797101449275363
ENSG00000139531-ENSMMUG00000064364	0.0119182	0.0448551	0.265705	534.26	1100.74	23.0	13.0	ENSG00000139531	ENSMMUG00000064364	monkey	Other genes	0.9779816513761468
ENSG00000139537-ENSMMUG00000006970	0.0117533	0.0549427	0.21392	421.881	1030.12	22.0	12.0	ENSG00000139537	ENSMMUG00000006970	monkey	Other genes	0.9752066115702479
ENSG00000139540-ENSMMUG00000008674	0.0135794	0.0487521	0.27854	578.045	1041.96	27.0	14.0	ENSG00000139540	ENSMMUG00000008674	monkey	Other genes	0.975925925925926
ENSG00000139546-ENSMMUG00000018492	0.00261489	0.0439519	0.0594944	331.815	766.185	14.0	2.0	ENSG00000139546	ENSMMUG00000018492	monkey	Other genes	0.8899755501222494
ENSG00000139549-ENSMMUG00000012776	0.00450927	0.120414	0.0374481	297.714	890.286	33.0	4.0	ENSG00000139549	ENSMMUG00000012776	monkey	Other genes	0.98989898989899
ENSG00000139567-ENSMMUG00000004982	0.00597561	0.108814	0.0549159	332.109	1176.89	33.0	7.0	ENSG00000139567	ENSMMUG00000004982	monkey	Other genes	0.9860834990059643
ENSG00000139572-ENSMMUG00000016671	0.0211469	0.0448862	0.471123	323.687	864.313	14.0	18.0	ENSG00000139572	ENSMMUG00000016671	monkey	Other genes	0.9545454545454546
ENSG00000139579-ENSMMUG00000038453	0.00672632	0.0561876	0.119712	184.725	448.275	10.0	3.0	ENSG00000139579	ENSMMUG00000038453	monkey	Other genes	0.985781990521327
ENSG00000139597-ENSMMUG00000007198	0.00583836	0.0360905	0.16177	162.561	566.439	5.7059	3.2941	ENSG00000139597	ENSMMUG00000007198	monkey	Other genes	0.6266318537859008
ENSG00000139610-ENSMMUG00000023164	0.0460926	0.12371	0.372585	186.164	587.836	20.7469	26.2531	ENSG00000139610	ENSMMUG00000023164	monkey	Other genes	0.9147286821705426
ENSG00000139613-ENSMMUG00000008273	0.000758617	0.0348913	0.0217423	1094.24	2637.76	37.0	2.0	ENSG00000139613	ENSMMUG00000008273	monkey	Other genes	0.9975903614457832
ENSG00000139618-ENSMMUG00000007197	0.0339872	0.0644884	0.527028	2226.56	7871.44	135.994	261.006	ENSG00000139618	ENSMMUG00000007197	monkey	Other genes	0.9116360454943132
ENSG00000139620-ENSMMUG00000003877	0.0127882	0.043285	0.295441	316.687	1159.31	13.3014	14.6986	ENSG00000139620	ENSMMUG00000003877	monkey	Other genes	0.7109144542772862
ENSG00000139625-ENSMMUG00000006613	0.0044694	0.0528081	0.0846346	772.177	1795.82	39.0	8.0	ENSG00000139625	ENSMMUG00000006613	monkey	Other genes	0.8715313463514902
ENSG00000139626-ENSMMUG00000005245	0.0128105	0.0766736	0.167079	654.154	1739.85	46.9115	22.0885	ENSG00000139626	ENSMMUG00000005245	monkey	Other genes	0.9615861214374225
ENSG00000139629-ENSMMUG00000023165	0.0086571	0.0779262	0.111093	469.546	1396.45	34.0	12.0	ENSG00000139629	ENSMMUG00000023165	monkey	Other genes	0.9807073954983923
ENSG00000139631-ENSMMUG00000015153	0.00733024	0.046236	0.15854	381.222	1097.78	17.0	8.0	ENSG00000139631	ENSMMUG00000015153	monkey	Other genes	0.9528487229862476
ENSG00000139636-ENSMMUG00000012769	0.00886594	0.0567265	0.156293	445.062	1021.94	24.0	9.0	ENSG00000139636	ENSMMUG00000012769	monkey	Other genes	0.9815950920245399
ENSG00000139637-ENSMMUG00000022034	0.0213988	0.0346533	0.617512	337.829	790.171	11.3499	16.6501	ENSG00000139637	ENSMMUG00000022034	monkey	Other genes	0.9574468085106383
ENSG00000139641-ENSMMUG00000021979	0.0291605	0.0785834	0.371077	935.997	2367.0	69.3059	67.6941	ENSG00000139641	ENSMMUG00000021979	monkey	Other genes	0.9367764915405165
ENSG00000139644-ENSMMUG00000005960	0.0244909	0.0738441	0.331657	181.494	514.506	12.6035	12.3965	ENSG00000139644	ENSMMUG00000005960	monkey	Other genes	0.7770034843205574
ENSG00000139645-ENSMMUG00000008679	0.000460427	0.0434092	0.0106067	1055.43	2172.57	44.0	1.0	ENSG00000139645	ENSMMUG00000008679	monkey	Other genes	0.9990706319702602
ENSG00000139648-ENSMMUG00000014400	0.00871151	0.18539	0.0469901	297.59	1271.41	47.0	11.0	ENSG00000139648	ENSMMUG00000014400	monkey	Other genes	0.9809523809523809
ENSG00000139651-ENSMMUG00000005246	0.0106142	0.0166019	0.639333	153.987	425.013	2.5217	4.4783	ENSG00000139651	ENSMMUG00000005246	monkey	Other genes	0.9692307692307692
ENSG00000139656-ENSMMUG00000062188	0.0438353	0.106226	0.41266	59.3178	195.682	5.74086	8.25914	ENSG00000139656	ENSMMUG00000062188	monkey	Other genes	0.6015625
ENSG00000139668-ENSMMUG00000009421	0.0152874	0.0651674	0.234586	295.652	904.348	18.3176	13.6824	ENSG00000139668	ENSMMUG00000009421	monkey	Other genes	0.6505016722408027
ENSG00000139687-ENSMMUG00000007891	0.00298773	0.0600398	0.0497624	771.781	2012.22	44.0	6.0	ENSG00000139687	ENSMMUG00000007891	monkey	Other genes	0.9935344827586207
ENSG00000139697-ENSMMUG00000011496	0.00251829	0.063866	0.0394308	993.664	3182.34	60.0	8.0	ENSG00000139697	ENSMMUG00000011496	monkey	Other genes	0.9935437589670014
ENSG00000139714-ENSMMUG00000041124	0.013578	0.105232	0.129029	125.207	594.793	12.0	8.0	ENSG00000139714	ENSMMUG00000041124	monkey	Other genes	0.9666666666666667
ENSG00000139718-ENSMMUG00000012842	0.00727893	0.137971	0.0527569	1372.73	4006.27	169.0	29.0	ENSG00000139718	ENSMMUG00000012842	monkey	Other genes	0.8969019807008634
ENSG00000139722-ENSMMUG00000039447	0.0101827	0.0779215	0.130679	261.626	593.374	19.0	6.0	ENSG00000139722	ENSMMUG00000039447	monkey	Other genes	0.9789473684210527
ENSG00000139725-ENSMMUG00000012645	0.00734854	0.162438	0.0452391	85.911	547.089	12.0	4.0	ENSG00000139725	ENSMMUG00000012645	monkey	Other genes	0.981042654028436
ENSG00000139726-ENSMMUG00000055252	0.00219261	0.05343	0.041037	137.255	456.745	7.0	1.0	ENSG00000139726	ENSMMUG00000055252	monkey	Other genes	0.9949494949494949
ENSG00000139734-ENSMMUG00000013780	0.0133698	0.0371454	0.359932	1130.49	2445.51	40.6764	32.3236	ENSG00000139734	ENSMMUG00000013780	monkey	Other genes	0.972338642078793
ENSG00000139737-ENSMMUG00000000049	0.012617	0.053162	0.237332	543.869	1226.13	27.6639	15.3361	ENSG00000139737	ENSMMUG00000000049	monkey	Other genes	0.8973561430793157
ENSG00000139746-ENSMMUG00000007529	0.000861375	0.0477277	0.0180477	697.744	2323.26	32.0	2.0	ENSG00000139746	ENSMMUG00000007529	monkey	Other genes	0.9980139026812314
ENSG00000139767-ENSMMUG00000021230	0.00744271	0.0689269	0.10798	475.052	1351.95	31.0	10.0	ENSG00000139767	ENSMMUG00000021230	monkey	Other genes	0.964573268921095
ENSG00000139780-ENSMMUG00000064688	0.0208349	0.0664406	0.313587	255.348	536.652	16.0	11.0	ENSG00000139780	ENSMMUG00000064688	monkey	Other genes	0.8908450704225352
ENSG00000139793-ENSMMUG00000022744	0.0528468	0.0595063	0.888088	312.435	827.565	17.7794	42.2206	ENSG00000139793	ENSMMUG00000022744	monkey	Other genes	0.8602409638554217
ENSG00000139797-ENSMMUG00000054368	0.0444566	0.159379	0.278936	213.664	752.336	29.6544	32.3456	ENSG00000139797	ENSMMUG00000054368	monkey	Other genes	0.8668639053254438
ENSG00000139800-ENSMMUG00000014821	0.00768782	0.0693174	0.110908	456.93	1439.07	30.0	11.0	ENSG00000139800	ENSMMUG00000014821	monkey	Other genes	0.9352409638554217
ENSG00000139826-ENSMMUG00000008039	0.0	0.047654	-0.0	217.125	793.875	10.0	0.0	ENSG00000139826	ENSMMUG00000008039	monkey	Other genes	0.9232876712328767
ENSG00000139832-ENSMMUG00000063358	0.0123443	0.189562	0.0651199	129.454	572.546	21.0	7.0	ENSG00000139832	ENSMMUG00000063358	monkey	Other genes	0.9700854700854701
ENSG00000139835-ENSMMUG00000009791	0.0159001	0.101487	0.156672	244.645	763.355	23.0	12.0	ENSG00000139835	ENSMMUG00000009791	monkey	Other genes	0.9529411764705882
ENSG00000139842-ENSMMUG00000019297	0.00250411	0.0624879	0.0400736	676.423	1600.58	40.0	4.0	ENSG00000139842	ENSMMUG00000019297	monkey	Other genes	0.994729907773386
ENSG00000139865-ENSMMUG00000011316	0.0279843	0.0411986	0.679252	427.353	1132.65	17.0	31.0	ENSG00000139865	ENSMMUG00000011316	monkey	Other genes	0.2598091198303287
ENSG00000139874-ENSMMUG00000039337	0.0	0.112362	-0.0	194.929	978.071	20.0	0.0	ENSG00000139874	ENSMMUG00000039337	monkey	Other genes	1.0
ENSG00000139880-ENSMMUG00000006009	0.00824814	0.0735396	0.112159	620.474	1722.53	42.8877	14.1123	ENSG00000139880	ENSMMUG00000006009	monkey	Other genes	0.7346743295019157
ENSG00000139890-ENSMMUG00000016098	0.0108578	0.102564	0.105864	276.077	743.923	26.0	8.0	ENSG00000139890	ENSMMUG00000016098	monkey	Other genes	0.9764705882352941
ENSG00000139899-ENSMMUG00000009515	0.175536	0.307438	0.570964	189.266	425.734	47.4312	66.5688	ENSG00000139899	ENSMMUG00000009515	monkey	Other genes	0.6909871244635193
ENSG00000139908-ENSMMUG00000012496	0.0259165	0.079371	0.326524	228.42	785.58	17.0	20.0	ENSG00000139908	ENSMMUG00000012496	monkey	Other genes	0.9408284023668639
ENSG00000139914-ENSMMUG00000049910	0.00312564	0.13414	0.0233013	234.738	641.262	28.0	2.0	ENSG00000139914	ENSMMUG00000049910	monkey	Other genes	0.9931506849315068
ENSG00000139915-ENSMMUG00000015110	0.000488544	0.0313088	0.0156041	820.312	2047.69	25.0	1.0	ENSG00000139915	ENSMMUG00000015110	monkey	Other genes	0.9317073170731708
ENSG00000139921-ENSMMUG00000001901	0.111079	0.203862	0.544873	187.286	628.714	33.1065	64.8935	ENSG00000139921	ENSMMUG00000001901	monkey	Other genes	0.696969696969697
ENSG00000139926-ENSMMUG00000018274	0.00395777	0.0486879	0.0812885	598.491	1267.51	28.0	5.0	ENSG00000139926	ENSMMUG00000018274	monkey	Other genes	0.9919614147909968
ENSG00000139946-ENSMMUG00000059984	0.0	0.0722495	-0.0	368.891	891.109	25.0	0.0	ENSG00000139946	ENSMMUG00000059984	monkey	Other genes	1.0
ENSG00000139970-ENSMMUG00000011966	0.0282176	0.0951396	0.296591	655.201	1666.8	57.8787	46.1213	ENSG00000139970	ENSMMUG00000011966	monkey	Other genes	0.9497422680412371
ENSG00000139971-ENSMMUG00000002121	0.033129	0.0521459	0.635313	679.477	1639.52	34.0	53.0	ENSG00000139971	ENSMMUG00000002121	monkey	Other genes	0.9218950064020487
ENSG00000139973-ENSMMUG00000042895	0.0122826	0.036411	0.337333	539.213	1395.79	19.0	17.0	ENSG00000139973	ENSMMUG00000042895	monkey	Other genes	0.9617737003058104
ENSG00000139974-ENSMMUG00000013612	0.0170976	0.049472	0.345601	389.091	978.909	18.4812	16.5188	ENSG00000139974	ENSMMUG00000013612	monkey	Other genes	0.9649122807017544
ENSG00000139977-ENSMMUG00000021311	0.00764703	0.0309795	0.246842	297.375	788.625	9.0	6.0	ENSG00000139977	ENSMMUG00000021311	monkey	Other genes	0.9807162534435262
ENSG00000139985-ENSMMUG00000011084	0.0224292	0.0742894	0.301916	613.42	1552.58	42.7615	34.2385	ENSG00000139985	ENSMMUG00000011084	monkey	Other genes	0.9529085872576177
ENSG00000139988-ENSMMUG00000015869	0.00753022	0.0612673	0.122908	253.675	694.325	14.8001	5.19987	ENSG00000139988	ENSMMUG00000015869	monkey	Other genes	0.9841772151898734
ENSG00000139990-ENSMMUG00000019346	0.00751274	0.0469318	0.160078	818.074	2007.93	37.0	15.0	ENSG00000139990	ENSMMUG00000019346	monkey	Other genes	0.982010582010582
ENSG00000139998-ENSMMUG00000004339	0.00195939	0.0976149	0.0200727	120.075	515.925	10.9904	1.00958	ENSG00000139998	ENSMMUG00000004339	monkey	Other genes	0.9377777777777778
ENSG00000140006-ENSMMUG00000011945	0.0155487	0.0633945	0.245269	250.542	910.458	15.0	14.0	ENSG00000140006	ENSMMUG00000011945	monkey	Other genes	0.9638242894056848
ENSG00000140009-ENSMMUG00000022839	0.0152702	0.0617324	0.247361	464.033	1125.97	27.0	17.0	ENSG00000140009	ENSMMUG00000022839	monkey	Other genes	0.9679245283018868
ENSG00000140015-ENSMMUG00000023518	0.000998633	0.0569385	0.0175388	959.929	2004.07	52.0	2.0	ENSG00000140015	ENSMMUG00000023518	monkey	Other genes	0.9979757085020243
ENSG00000140022-ENSMMUG00000022124	0.0105303	0.0501126	0.210133	853.79	2011.21	41.0	21.0	ENSG00000140022	ENSMMUG00000022124	monkey	Other genes	0.9780104712041885
ENSG00000140025-ENSMMUG00000004459	0.0835847	0.172398	0.484835	98.0437	381.956	14.8364	30.1636	ENSG00000140025	ENSMMUG00000004459	monkey	Other genes	0.5789473684210527
ENSG00000140030-ENSMMUG00000017260	0.0189169	0.0394735	0.479231	313.768	697.232	12.0	13.0	ENSG00000140030	ENSMMUG00000017260	monkey	Other genes	0.9614243323442137
ENSG00000140044-ENSMMUG00000002797	0.0026294	0.0584224	0.0450068	108.018	380.982	6.0	1.0	ENSG00000140044	ENSMMUG00000002797	monkey	Other genes	0.30857142857142855
ENSG00000140057-ENSMMUG00000003397	0.0183803	0.0587812	0.31269	734.726	1434.27	41.0	26.0	ENSG00000140057	ENSMMUG00000003397	monkey	Other genes	0.9654218533886584
ENSG00000140067-ENSMMUG00000012398	0.016406	0.146912	0.111673	198.155	677.845	26.0	11.0	ENSG00000140067	ENSMMUG00000012398	monkey	Other genes	0.7966101694915254
ENSG00000140090-ENSMMUG00000013960	0.00517844	0.0778841	0.066489	508.094	1357.91	37.0	7.0	ENSG00000140090	ENSMMUG00000013960	monkey	Other genes	0.9887459807073955
ENSG00000140092-ENSMMUG00000008447	0.00726998	0.106191	0.0684614	315.393	1028.61	30.5586	7.44142	ENSG00000140092	ENSMMUG00000008447	monkey	Other genes	0.9526881720430107
ENSG00000140093-ENSMMUG00000007307	0.0427871	0.0485895	0.880582	387.816	941.184	18.0	39.0	ENSG00000140093	ENSMMUG00000007307	monkey	Other genes	0.9166666666666666
ENSG00000140104-ENSMMUG00000001273	0.0423793	0.0390039	1.08654	292.251	682.749	11.0	28.0	ENSG00000140104	ENSMMUG00000001273	monkey	Other genes	0.92
ENSG00000140105-ENSMMUG00000059881	0.013893	0.0785809	0.176798	393.73	1019.27	29.0	14.0	ENSG00000140105	ENSMMUG00000059881	monkey	Other genes	0.9663157894736842
ENSG00000140107-ENSMMUG00000013865	0.0269504	0.189925	0.141901	202.426	721.574	33.0	19.0	ENSG00000140107	ENSMMUG00000013865	monkey	Other genes	0.9383116883116883
ENSG00000140153-ENSMMUG00000007135	0.00551227	0.0450468	0.122368	410.669	1296.33	17.8818	7.11816	ENSG00000140153	ENSMMUG00000007135	monkey	Other genes	0.923202614379085
ENSG00000140157-ENSMMUG00000003892	0.00648773	0.0689729	0.0940621	305.697	774.303	20.0	5.0	ENSG00000140157	ENSMMUG00000003892	monkey	Other genes	0.9861111111111112
ENSG00000140199-ENSMMUG00000020935	0.00298469	0.0493582	0.0604701	1098.58	2351.42	52.0	7.0	ENSG00000140199	ENSMMUG00000020935	monkey	Other genes	0.9939130434782608
ENSG00000140254-ENSMMUG00000008748	0.0225516	0.112048	0.201267	304.364	724.636	30.9662	16.0338	ENSG00000140254	ENSMMUG00000008748	monkey	Other genes	0.9533527696793003
ENSG00000140259-ENSMMUG00000022773	0.00109058	0.0579879	0.018807	399.156	917.844	22.0	1.0	ENSG00000140259	ENSMMUG00000022773	monkey	Other genes	0.9977220956719818
ENSG00000140262-ENSMMUG00000004091	0.001947	0.0267265	0.072849	574.909	1543.09	15.0	3.0	ENSG00000140262	ENSMMUG00000004091	monkey	Other genes	0.9957507082152974
ENSG00000140263-ENSMMUG00000015971	0.0246677	0.0911631	0.270588	316.445	754.555	26.706	18.294	ENSG00000140263	ENSMMUG00000015971	monkey	Other genes	0.9551820728291317
ENSG00000140265-ENSMMUG00000017070	0.0220491	0.0512345	0.430357	754.485	1798.52	37.0	39.0	ENSG00000140265	ENSMMUG00000017070	monkey	Other genes	0.9530516431924883
ENSG00000140274-ENSMMUG00000008747	0.0242664	0.0951112	0.255137	247.161	712.839	22.0	17.0	ENSG00000140274	ENSMMUG00000008747	monkey	Other genes	0.946875
ENSG00000140279-ENSMMUG00000008746	0.0157645	0.0892061	0.17672	1161.5	3476.5	95.8657	54.1343	ENSG00000140279	ENSMMUG00000008746	monkey	Other genes	0.9664082687338501
ENSG00000140280-ENSMMUG00000017437	0.256489	0.477784	0.536832	147.873	476.127	51.8804	103.12	ENSG00000140280	ENSMMUG00000017437	monkey	Other genes	0.3907103825136612
ENSG00000140284-ENSMMUG00000002876	0.0634516	0.128591	0.493436	499.892	1327.11	58.3177	80.6823	ENSG00000140284	ENSMMUG00000002876	monkey	Other genes	0.8712715855572999
ENSG00000140285-ENSMMUG00000009842	0.0	0.0318666	-0.0	128.209	453.791	4.0	0.0	ENSG00000140285	ENSMMUG00000009842	monkey	Other genes	1.0
ENSG00000140287-ENSMMUG00000002877	0.00897869	0.0575775	0.155941	529.011	1456.99	29.0	13.0	ENSG00000140287	ENSMMUG00000002877	monkey	Other genes	0.9803625377643505
ENSG00000140297-ENSMMUG00000018426	0.022902	0.0811934	0.282068	381.133	932.867	29.0	21.0	ENSG00000140297	ENSMMUG00000018426	monkey	Other genes	0.952054794520548
ENSG00000140299-ENSMMUG00000020348	0.00428275	0.0480781	0.0890789	239.221	702.779	11.0	3.0	ENSG00000140299	ENSMMUG00000020348	monkey	Other genes	0.6519916142557652
ENSG00000140320-ENSMMUG00000017165	0.056989	0.149395	0.381466	676.036	1576.96	90.4967	86.5033	ENSG00000140320	ENSMMUG00000017165	monkey	Other genes	0.7750281214848144
ENSG00000140323-ENSMMUG00000012408	0.00733397	0.0708123	0.103569	1049.18	3153.82	70.0	23.0	ENSG00000140323	ENSMMUG00000012408	monkey	Other genes	0.9842969307637401
ENSG00000140326-ENSMMUG00000015123	0.00975624	0.0593376	0.164419	1072.76	2608.24	60.7362	25.2638	ENSG00000140326	ENSMMUG00000015123	monkey	Other genes	0.9788617886178862
ENSG00000140332-ENSMMUG00000014023	0.00448173	0.0826116	0.0542506	492.218	1814.78	37.891	8.10897	ENSG00000140332	ENSMMUG00000014023	monkey	Other genes	0.8468368479467259
