gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv	non_nsite	mis_nsite	ssite
HNRNPM	1	5	0	1	0	2.565191666	9.77379668	9.77379668	0.0	0.077872134	0.097574111	0.056863835	1.0	0.813667722	0.942412671	0.977167932	1.0	0.219897894	1.0	3.92967530000001e-06	9.749989730000026e-05	3.584522829999999e-05
SUDS3	0	1	0	0	1	2.69968792	0.0	0.0	10.67871508	0.396990624	0.747284771	0.662703901	0.085839239	0.813667722	0.942412671	0.977167932	1.0	0.219961435	1.0	1.3223296999999993e-06	1.864770970000002e-05	7.028989000000002e-06
PTPRF	2	10	0	0	1	1.90881707	0.0	0.0	2.130579663	0.086064215	0.491272297	0.176598644	0.322121146	0.813667722	0.942412671	0.977167932	1.0	0.21996189	1.0	1.4415918499999989e-05	0.00041688162420000995	0.00018944211710000033
PCDH7	2	3	0	0	2	1.252072889	0.0	0.0	5.754989314	0.715601005	0.693220135	0.864816959	0.065795958	0.87458213	0.942412671	0.977167932	1.0	0.220005757	1.0	2.3206980999999995e-06	6.657778539999992e-05	3.091729119999993e-05
ZRANB1	0	2	1	0	1	1.31968091	7.815110357	7.815110357	4.147256567	0.713287734	0.125331619	0.291517793	0.195333258	0.873496465	0.942412671	0.977167932	1.0	0.220125156	1.0	1.5040732999999998e-06	2.0742295199999982e-05	6.635499100000004e-06
ABCB11	2	6	0	0	1	2.179033251	0.0	0.0	2.810725872	0.105158383	0.520314571	0.215609386	0.264285579	0.813667722	0.942412671	0.977167932	1.0	0.220237855	1.0	2.1077213000000008e-06	3.927836839999984e-05	1.429772740000001e-05
AMN	0	0	0	0	1	0.0	0.0	0.0	10.85766224	0.38804352	0.833640249	0.674093207	0.084540735	0.813667722	0.942412671	0.977167932	1.0	0.220254711	1.0	4.110071000000001e-07	1.3929120499999981e-05	7.24113829999999e-06
MYH15	1	0	0	0	0	0.0	0.0	0.0	0.0	0.02173376	0.482522672	0.056988498	1.0	0.813667722	0.942412671	0.977167932	1.0	0.220255178	1.0	3.3475452000000023e-06	4.953629709999997e-05	1.7930235599999968e-05
CHD1	0	0	0	0	1	0.0	0.0	0.0	1.800587002	0.066947039	0.556543203	0.158182346	0.36036274	0.813667722	0.942412671	0.977167932	1.0	0.22029679	1.0	3.4138919000000037e-06	4.508045630000024e-05	1.5209093499999987e-05
GCC2	0	0	0	0	1	0.0	0.0	0.0	1.872577625	0.069180023	0.555681944	0.162372575	0.351266884	0.813667722	0.942412671	0.977167932	1.0	0.220391558	1.0	6.3264585999999925e-06	7.538501069999975e-05	2.7363990299999985e-05
MRPS31	0	0	0	0	1	0.0	0.0	0.0	9.550971421	0.334994636	0.761663407	0.600366338	0.095038624	0.813667722	0.942412671	0.977167932	1.0	0.220454225	1.0	7.457208999999997e-07	9.3111454e-06	3.1617147999999984e-06
CCNJL	1	0	0	0	1	0.0	0.0	0.0	6.75922395	0.20984266	0.800073968	0.441436717	0.129355	0.813667722	0.942412671	0.977167932	1.0	0.22058037	1.0	2.1703799000000033e-06	5.34813353000004e-05	2.629587489999996e-05
WWTR1	0	0	1	0	0	0.0	22.99261796	22.99261796	0.0	0.243788819	0.037339111	0.057109134	1.0	0.813667722	0.942412671	0.977167932	1.0	0.220600661	1.0	2.800064000000001e-06	5.5387238299999786e-05	2.5688537600000167e-05
RANGAP1	0	0	0	0	1	0.0	0.0	0.0	7.921377862	0.257074412	0.789713469	0.508026851	0.112452646	0.813667722	0.942412671	0.977167932	1.0	0.220657426	1.0	1.9571619999999973e-06	7.834759510000064e-05	4.1022329800000475e-05
RAB25	0	0	1	0	0	0.0	33.02257932	33.02257932	0.0	0.410922763	0.024885095	0.057148083	1.0	0.813667722	0.942412671	0.977167932	1.0	0.220712152	1.0	4.994765e-07	7.3708283999999936e-06	2.998996299999999e-06
SLC35G2	1	3	0	0	1	2.743320566	0.0	0.0	4.61504647	0.141844265	0.733261439	0.319948707	0.178985263	0.813667722	0.942412671	0.977167932	1.0	0.221049817	1.0	1.5191103999999998e-06	2.1812744799999938e-05	6.9509732000000095e-06
ZNF329	0	0	0	0	1	0.0	0.0	0.0	2.320610226	0.075716883	0.664554217	0.188683762	0.303564302	0.813667722	0.942412671	0.977167932	1.0	0.221082852	1.0	4.370438700000016e-06	6.77873016000005e-05	2.952615979999987e-05
UNC13D	5	0	1	0	0	0.0	6.354819168	6.354819168	0.0	0.055937487	0.15754296	0.057285028	1.0	0.813667722	0.942412671	0.977167932	1.0	0.221103938	1.0	5.537280799999992e-06	0.00011928077329999932	5.317116690000014e-05
TBC1D20	0	0	1	0	0	0.0	20.77025013	20.77025013	0.0	0.21453882	0.041853943	0.05732848	1.0	0.813667722	0.942412671	0.977167932	1.0	0.221228182	1.0	1.1678724e-06	2.5114525200000078e-05	9.665447599999975e-06
ZNF114	0	0	0	0	1	0.0	0.0	0.0	6.105546323	0.189672777	0.769911569	0.405776316	0.141300429	0.813667722	0.942412671	0.977167932	1.0	0.221250731	1.0	2.6863682000000026e-06	6.319707210000005e-05	2.7694112000000023e-05
TTC33	0	0	0	0	1	0.0	0.0	0.0	10.45623879	0.377858368	0.793963588	0.655336457	0.087510308	0.813667722	0.942412671	0.977167932	1.0	0.221285973	1.0	5.48477e-07	6.462845099999986e-06	2.0978773999999988e-06
TSHZ2	0	6	0	0	1	2.128946112	0.0	0.0	3.436984852	0.11564366	0.613311342	0.252894311	0.226779607	0.813667722	0.942412671	0.977167932	1.0	0.22129334	1.0	4.176646399999999e-06	0.00010407622679999992	4.746720559999963e-05
CCDC34	0	0	0	0	1	0.0	0.0	0.0	9.563249707	0.331760253	0.799049812	0.604691732	0.094927862	0.813667722	0.942412671	0.977167932	1.0	0.221438592	1.0	9.628301999999998e-07	1.5943127200000004e-05	5.779386099999994e-06
TECTB	0	1	0	0	1	1.783903193	0.0	0.0	13.51031137	0.600630905	0.761135524	0.83216554	0.069055507	0.828843255	0.942412671	0.977167932	1.0	0.221620076	1.0	4.2357890000000023e-07	9.614184300000003e-06	4.616760899999999e-06
RRM1	0	0	0	0	1	0.0	0.0	0.0	4.210445664	0.136072184	0.650118206	0.297899266	0.192952727	0.813667722	0.942412671	0.977167932	1.0	0.22166253	1.0	5.538919900000015e-06	7.509203750000082e-05	2.5999507299999947e-05
DMWD	0	3	1	0	0	2.165786346	24.25840197	24.25840197	0.0	0.24608066	0.035159538	0.057504848	1.0	0.813667722	0.942412671	0.977167932	1.0	0.221732141	1.0	1.6301341999999981e-06	5.801051529999974e-05	2.978097160000006e-05
FAM179A	1	4	0	0	1	2.535079331	0.0	0.0	3.759526599	0.11652172	0.716441656	0.272146253	0.211330745	0.813667722	0.942412671	0.977167932	1.0	0.22175505	1.0	2.7238673999999964e-06	8.36544172000002e-05	3.898465269999999e-05
SAMD8	0	0	0	0	1	0.0	0.0	0.0	6.145935945	0.200860554	0.695521062	0.409382466	0.140498771	0.813667722	0.942412671	0.977167932	1.0	0.221768937	1.0	3.650656300000005e-06	3.972680759999999e-05	1.382473760000002e-05
MORF4L2	0	1	0	0	1	2.707591664	0.0	0.0	10.98949771	0.39579203	0.870691284	0.68798345	0.083608944	0.813667722	0.942412671	0.977167932	1.0	0.221779892	1.0			
NBPF3	0	0	0	0	1	0.0	0.0	0.0	7.095203962	0.240732765	0.688253532	0.464273434	0.12396821	0.813667722	0.942412671	0.977167932	1.0	0.221875765	1.0	5.9940902999999855e-06	7.099654659999893e-05	3.242218719999998e-05
BBS9	0	0	0	0	1	0.0	0.0	0.0	3.930142964	0.132780593	0.598042699	0.282240306	0.203979798	0.813667722	0.942412671	0.977167932	1.0	0.221921939	1.0	1.1515400900000033e-05	0.00013808438059999576	5.3782252899999866e-05
ANP32E	0	0	0	0	1	0.0	0.0	0.0	12.54439035	0.504837693	0.810924816	0.778150592	0.073990576	0.813667722	0.942412671	0.977167932	1.0	0.221934757	1.0	3.1694785999999972e-06	3.7027694100000345e-05	1.658210830000004e-05
MPPE1	0	3	0	0	0	5.990890893	0.0	0.0	0.0	0.018030214	0.742683951	0.057625445	1.0	0.813667722	0.942412671	0.977167932	1.0	0.222076425	1.0	6.928961899999992e-06	0.00011550406599999964	5.120991490000011e-05
ETV3	0	3	0	0	1	2.610708019	0.0	0.0	5.119043439	0.15995264	0.736153957	0.351117023	0.164179972	0.813667722	0.942412671	0.977167932	1.0	0.222136173	1.0	8.361816000000001e-07	2.088562970000009e-05	6.867251600000001e-06
PDK2	0	0	0	1	0	0.0	25.16887058	25.16887058	0.0	0.279455234	0.033735738	0.057683185	1.0	0.813667722	0.942412671	0.977167932	1.0	0.222241173	1.0	2.5013650000000046e-06	5.259526929999961e-05	2.3873193599999974e-05
FRMD3	2	0	0	0	1	0.0	0.0	0.0	5.998202476	0.192318732	0.723626798	0.402055864	0.14347614	0.813667722	0.942412671	0.977167932	1.0	0.222247559	1.0	2.498410399999996e-06	4.667061869999963e-05	1.784057079999998e-05
SERINC4	0	2	0	0	1	2.926149291	0.0	0.0	6.2926175	0.203095255	0.734020348	0.419133909	0.13766236	0.813667722	0.942412671	0.977167932	1.0	0.222286183	1.0	1.6639185999999996e-06	3.6814420699999845e-05	1.5029692799999995e-05
TDP1	0	0	0	0	1	0.0	0.0	0.0	5.325935882	0.172637065	0.681527686	0.363404918	0.158787944	0.813667722	0.942412671	0.977167932	1.0	0.222301463	1.0	6.657132699999969e-06	0.00012892450619999947	5.89835202000005e-05
MYD88	0	4	0	0	1	1.254534358	0.0	0.0	10.93690064	0.67486732	0.454295889	0.688511826	0.083978218	0.857919288	0.942412671	0.977167932	1.0	0.222631304	1.0	2.5113934000000017e-06	4.7977031699999544e-05	2.1162331599999956e-05
TRMT10B	0	0	0	0	1	0.0	0.0	0.0	10.59884772	0.393045696	0.785316659	0.669304554	0.086431748	0.813667722	0.942412671	0.977167932	1.0	0.222714433	1.0	2.5949151999999996e-06	3.933682449999977e-05	1.646317970000005e-05
WASF3	0	0	0	0	1	0.0	0.0	0.0	6.671317464	0.213756064	0.770473679	0.442791687	0.13084255	0.813667722	0.942412671	0.977167932	1.0	0.22296183	1.0	1.1595405000000002e-06	3.6057836299999945e-05	1.6587685499999994e-05
BMP6	2	4	0	0	0	4.483489008	0.0	0.0	0.0	0.01827582	0.730456322	0.057938868	1.0	0.813667722	0.942412671	0.977167932	1.0	0.222970016	1.0	1.0149735999999995e-06	1.6200276199999985e-05	7.411771200000011e-06
SULT1C3	0	0	0	0	1	0.0	0.0	0.0	10.54630271	0.38518625	0.814327694	0.667402227	0.086826042	0.813667722	0.942412671	0.977167932	1.0	0.222995725	1.0	7.459198000000003e-07	1.6870088399999946e-05	6.838150899999993e-06
PINX1	0	0	1	0	0	0.0	26.02809359	26.02809359	0.0	0.294825348	0.032489146	0.057958201	1.0	0.813667722	0.942412671	0.977167932	1.0	0.223025082	1.0	1.5728118000000032e-06	3.049146539999995e-05	1.1279308299999974e-05
GALM	0	0	1	0	0	0.0	29.48487214	29.48487214	0.0	0.353041261	0.028251129	0.05796617	1.0	0.813667722	0.942412671	0.977167932	1.0	0.223047777	1.0	1.4365670000000014e-06	2.9066427500000036e-05	1.3412046800000039e-05
TUBB4A	1	1	0	0	1	0.737878592	0.0	0.0	14.92007118	0.752357945	0.800334769	0.921735086	0.062929491	0.891569426	0.942412671	0.977167932	1.0	0.22315641	1.0	2.519733799999985e-06	7.542739720000084e-05	3.6656238799999756e-05
HSP90AB1	0	4	0	0	1	2.506852053	0.0	0.0	3.596160966	0.120691365	0.629996606	0.265312227	0.21888323	0.813667722	0.942412671	0.977167932	1.0	0.223350204	1.0	3.032824199999993e-06	6.81766139999998e-05	2.217261570000009e-05
GET4	0	1	0	0	1	1.937155938	0.0	0.0	13.04091892	0.554575696	0.80282148	0.813723223	0.071368744	0.821334838	0.942412671	0.977167932	1.0	0.223355917	1.0	1.1651170000000022e-06	4.0924332999999804e-05	1.9885362700000025e-05
ZFHX2	2	8	0	0	2	1.526316199	0.0	0.0	3.590237604	0.296098437	0.500330245	0.455579216	0.127488941	0.813667722	0.942412671	0.977167932	1.0	0.223375575	1.0	3.2316285999999954e-06	9.291147419999935e-05	3.8502360200000135e-05
RP9	0	0	0	0	1	0.0	0.0	0.0	13.33058456	0.568406301	0.834671562	0.831626876	0.06992329	0.823834542	0.942412671	0.977167932	1.0	0.223571263	1.0	1.0486299000000007e-06	1.0504898500000004e-05	3.9288262e-06
C5orf51	0	1	0	0	1	2.496552763	0.0	0.0	10.99798831	0.430246157	0.75072576	0.69608569	0.083549637	0.813667722	0.942412671	0.977167932	1.0	0.223592938	1.0	7.192353000000001e-07	7.042331799999993e-06	2.569939399999998e-06
PRG4	0	0	0	0	1	0.0	0.0	0.0	2.277815024	0.073964816	0.706236433	0.18925418	0.307554652	0.813667722	0.942412671	0.977167932	1.0	0.223730302	1.0	5.774147999999999e-06	0.0002122854391999975	8.023752220000016e-05
RAD51B	0	0	1	0	0	0.0	31.24867963	31.24867963	0.0	0.388976375	0.026471474	0.058283492	1.0	0.813667722	0.942412671	0.977167932	1.0	0.22395061	1.0	3.453770999999986e-06	5.554155829999992e-05	1.9503132199999906e-05
SPRED1	0	2	0	0	1	2.580631032	0.0	0.0	7.16127725	0.253112376	0.671083532	0.474318816	0.122961205	0.813667722	0.942412671	0.977167932	1.0	0.224062365	1.0	1.8579413000000003e-06	1.6181982300000004e-05	5.378770700000002e-06
DDX42	1	1	1	0	1	0.56243042	6.908415018	6.908415018	3.783155162	0.531820593	0.143736941	0.27805614	0.210281286	0.817145772	0.942412671	0.977167932	1.0	0.224480457	1.0	1.0122958700000006e-05	0.00015067832230000074	4.766092699999986e-05
CEACAM6	0	0	1	0	0	0.0	17.81003299	17.81003299	0.0	0.181318963	0.049747141	0.058470365	1.0	0.813667722	0.942412671	0.977167932	1.0	0.224481485	1.0	4.652235000000001e-07	1.1397438499999977e-05	5.583935399999998e-06
NSMCE4A	0	0	0	0	1	0.0	0.0	0.0	8.779354473	0.312876866	0.745701031	0.570537051	0.102558827	0.813667722	0.942412671	0.977167932	1.0	0.224604254	1.0	1.7497185999999994e-06	2.484228799999997e-05	8.535895800000015e-06
TSFM	0	1	0	0	1	2.063388782	0.0	0.0	12.47464758	0.521205508	0.796139595	0.786985079	0.074374348	0.816404741	0.942412671	0.977167932	1.0	0.224655037	1.0	2.8001214999999955e-06	5.527686789999991e-05	2.3870545899999965e-05
ZNF410	0	0	0	0	1	0.0	0.0	0.0	7.247122372	0.243543573	0.748375032	0.481632114	0.12167704	0.813667722	0.942412671	0.977167932	1.0	0.224859534	1.0	4.55412390000001e-06	9.991141579999917e-05	3.593147290000012e-05
BYSL	0	0	0	0	1	0.0	0.0	0.0	6.975282139	0.232005266	0.750122197	0.465758359	0.125838668	0.813667722	0.942412671	0.977167932	1.0	0.224878943	1.0	1.0293755999999996e-06	2.029409379999999e-05	8.558598099999996e-06
SEC22A	0	0	0	0	1	0.0	0.0	0.0	10.20393406	0.379103383	0.78676751	0.655050419	0.089485927	0.813667722	0.942412671	0.977167932	1.0	0.224899886	1.0	2.8188707999999976e-06	4.0752270699999606e-05	1.4945429400000025e-05
RNF146	0	0	0	0	1	0.0	0.0	0.0	5.008182367	0.162375211	0.700397689	0.350552099	0.167222655	0.813667722	0.942412671	0.977167932	1.0	0.22490686	1.0	2.3767698000000017e-06	2.9986623399999957e-05	1.2107651399999978e-05
SLC23A1	2	0	1	0	0	0.0	14.83129452	14.83129452	0.0	0.146044672	0.061073472	0.05879088	1.0	0.813667722	0.942412671	0.977167932	1.0	0.225390627	1.0	1.7351667000000013e-06	4.2408859899999904e-05	1.9360784900000017e-05
CS	0	0	0	0	1	0.0	0.0	0.0	6.95658382	0.248754578	0.656025438	0.466397132	0.126135409	0.813667722	0.942412671	0.977167932	1.0	0.225499184	1.0	9.582257000000038e-06	9.588030890000158e-05	3.559416700000009e-05
ZNF248	1	0	0	0	1	0.0	0.0	0.0	3.546069147	0.113096371	0.70555535	0.265948166	0.221308263	0.813667722	0.942412671	0.977167932	1.0	0.225576617	1.0	2.612315099999997e-06	4.075953569999981e-05	1.6326492000000076e-05
PRCC	1	0	0	0	1	0.0	0.0	0.0	6.786276637	0.223513776	0.769447417	0.457021275	0.128903997	0.813667722	0.942412671	0.977167932	1.0	0.225733356	1.0	1.3874642999999995e-06	3.481797630000016e-05	1.4655760000000014e-05
WDFY2	0	0	0	0	1	0.0	0.0	0.0	8.492025954	0.296382942	0.778570582	0.557551094	0.105672426	0.813667722	0.942412671	0.977167932	1.0	0.225750085	1.0	5.954709999999999e-07	1.2546973200000001e-05	5.188001800000006e-06
MTERFD3	0	0	1	0	0	0.0	22.42749435	22.42749435	0.0	0.246366824	0.038396977	0.05892714	1.0	0.813667722	0.942412671	0.977167932	1.0	0.225776598	1.0	2.3526165000000016e-06	3.299619659999979e-05	1.2854075500000008e-05
L2HGDH	0	0	0	0	1	0.0	0.0	0.0	7.856144204	0.273962233	0.738238652	0.520263666	0.113283545	0.813667722	0.942412671	0.977167932	1.0	0.225805399	1.0	3.2450036999999955e-06	4.9146869999999885e-05	1.7706908200000003e-05
EHF	0	1	0	0	1	1.496666793	0.0	0.0	13.5397289	0.708173144	0.67982963	0.855642231	0.068915516	0.871995889	0.942412671	0.977167932	1.0	0.225889518	1.0	5.569853700000006e-06	6.729996409999971e-05	3.115642659999995e-05
EN1	0	1	0	0	1	3.291820023	0.0	0.0	9.318489772	0.322544076	0.890568634	0.607181226	0.097185704	0.813667722	0.942412671	0.977167932	1.0	0.226009272	1.0	3.6432330000000003e-07	1.1101519199999997e-05	5.391811199999994e-06
PROP1	0	0	1	0	0	0.0	24.10500052	24.10500052	0.0	0.272200523	0.035410715	0.059028236	1.0	0.813667722	0.942412671	0.977167932	1.0	0.226062758	1.0	5.059215000000002e-07	8.414939400000001e-06	3.2404529999999974e-06
SLC5A3	1	7	0	0	0	2.965924463	0.0	0.0	0.0	0.019397404	0.676541657	0.05907648	1.0	0.813667722	0.942412671	0.977167932	1.0	0.226199258	1.0	8.429898000000001e-07	2.1150289799999972e-05	7.785089800000007e-06
TDRP	0	0	0	0	1	0.0	0.0	0.0	12.22408197	0.501438414	0.832888114	0.78029634	0.075786598	0.813667722	0.942412671	0.977167932	1.0	0.22636762	1.0	1.6001893000000012e-06	1.6055278799999974e-05	7.309021799999985e-06
SPANXN3	0	2	0	0	0	10.27506283	0.0	0.0	0.0	0.017665519	0.873889451	0.059150768	1.0	0.813667722	0.942412671	0.977167932	1.0	0.226409366	1.0			
PCDH19	2	4	1	0	0	2.319356054	16.29186467	16.29186467	0.0	0.150799667	0.054953773	0.059152937	1.0	0.813667722	0.942412671	0.977167932	1.0	0.226415498	1.0			
BCAT2	0	1	0	0	1	1.668929076	0.0	0.0	13.56720776	0.63993249	0.775759917	0.860379476	0.068785262	0.843720051	0.942412671	0.977167932	1.0	0.226496054	1.0	4.2772689999999906e-06	0.00010085686310000185	4.672136729999979e-05
TRANK1	3	10	0	0	3	1.426770502	0.0	0.0	2.752568907	0.329258668	0.390493362	0.420326649	0.140836535	0.813667722	0.942412671	0.977167932	1.0	0.226541063	1.0	1.1451504499999964e-05	0.00022650950609999905	9.02397533999995e-05
CTNND1	2	2	0	0	2	0.9504678	0.0	0.0	5.635485787	0.943596295	0.605091527	0.872936969	0.067891045	0.977905603	0.942412671	0.977167932	1.0	0.226731144	1.0	5.175279299999976e-05	0.0009540272901000019	0.00029628482800000337
ADAM2	0	3	0	0	1	2.448934898	0.0	0.0	5.345225392	0.185964446	0.650189016	0.374608917	0.15830321	0.813667722	0.942412671	0.977167932	1.0	0.226836224	1.0	3.235716299999997e-06	6.763564370000073e-05	2.5816255700000004e-05
ZNF584	1	2	0	0	1	2.210539656	0.0	0.0	9.004906797	0.328617991	0.763899355	0.592475203	0.100240286	0.813667722	0.942412671	0.977167932	1.0	0.227085024	1.0	1.5034502999999985e-06	3.2367869499999965e-05	1.2646284199999997e-05
MPPED1	0	1	0	0	1	1.346901378	0.0	0.0	14.79364934	0.778802501	0.819960616	0.936590621	0.06343413	0.905194926	0.942412671	0.977167932	1.0	0.227146935	1.0	3.1361671000000053e-06	7.387301779999978e-05	3.924979909999964e-05
PVRL3	1	0	0	0	1	0.0	0.0	0.0	4.186692391	0.134765443	0.717806703	0.306686632	0.193840753	0.813667722	0.942412671	0.977167932	1.0	0.227250131	1.0	2.833671900000001e-06	4.269681779999989e-05	1.6735833699999995e-05
SCAF8	1	5	0	0	1	2.513053605	0.0	0.0	2.132523996	0.083782858	0.546996254	0.184714532	0.321919818	0.813667722	0.942412671	0.977167932	1.0	0.227292189	1.0	8.568014000000012e-06	0.00011569275779999944	3.859608380000006e-05
HNRNPA3	1	3	0	0	0	5.922106938	0.0	0.0	0.0	0.018589169	0.755568756	0.059533379	1.0	0.813667722	0.942412671	0.977167932	1.0	0.227490028	1.0	1.5414320000000009e-06	3.309096599999998e-05	1.1329916699999971e-05
OR2L8	0	3	0	0	0	6.025964751	0.0	0.0	0.0	0.017735891	0.893906109	0.0595784	1.0	0.813667722	0.942412671	0.977167932	1.0	0.227617026	1.0	5.565019000000001e-07	8.312234299999993e-06	2.8766025000000016e-06
SPIN1	0	1	0	0	1	2.519164992	0.0	0.0	11.02861338	0.426295275	0.848014332	0.715277549	0.083336419	0.813667722	0.942412671	0.977167932	1.0	0.22770239	1.0	6.59682e-07	1.5919422800000063e-05	6.388927199999989e-06
WTAP	0	0	0	0	1	0.0	0.0	0.0	8.464614316	0.303020826	0.763810585	0.562715096	0.105979375	0.813667722	0.942412671	0.977167932	1.0	0.227780002	1.0	1.3132659000000008e-06	1.449669779999999e-05	5.7999580000000056e-06
PRR15L	0	2	0	0	0	10.28053556	0.0	0.0	0.0	0.017646246	0.930410455	0.059638806	1.0	0.813667722	0.947482668	0.977167932	1.0	0.227787368	1.0	7.205279999999999e-08	3.5452917999999992e-06	1.4818295e-06
IRAK2	0	0	1	0	0	0.0	16.36216129	16.36216129	0.0	0.167652008	0.05472162	0.059647966	1.0	0.813667722	0.942412671	0.977167932	1.0	0.227813193	1.0	8.982724000000001e-07	1.852430010000002e-05	8.060627100000008e-06
CRAMP1L	5	2	0	1	1	0.8227041	9.186020979	9.186020979	3.305763462	0.780736544	0.104483035	0.255372394	0.233730438	0.905652466	0.942412671	0.977167932	1.0	0.227926896	1.0	5.282253500000013e-06	0.00017333855099999993	8.522807779999972e-05
RMDN2	0	0	0	0	1	0.0	0.0	0.0	6.32486933	0.210625359	0.75584214	0.435623698	0.137053988	0.813667722	0.942412671	0.977167932	1.0	0.227971044	1.0	4.26389870000001e-06	7.904917589999984e-05	2.582512830000015e-05
TMEM66	1	0	1	0	0	0.0	26.64737325	26.64737325	0.0	0.319057304	0.03163362	0.059781324	1.0	0.813667722	0.942412671	0.977167932	1.0	0.22818902	1.0	2.4259649000000016e-06	3.820320429999996e-05	1.802062070000006e-05
PRPF4B	0	3	0	1	1	1.990214456	5.907848854	5.907848854	2.929161141	0.296107334	0.170995483	0.233486009	0.256271138	0.813667722	0.942412671	0.977167932	1.0	0.228342246	1.0	9.809067100000009e-06	0.00010555789199999976	3.32451423000001e-05
PTPRJ	2	7	0	0	0	2.902651868	0.0	0.0	0.0	0.02148254	0.576109404	0.059849873	1.0	0.813667722	0.942412671	0.977167932	1.0	0.228382086	1.0	2.6467278999999996e-06	6.480658860000014e-05	2.969086870000004e-05
ADSSL1	0	1	0	0	1	1.262635045	0.0	0.0	14.34764982	0.824212751	0.726528544	0.917463761	0.065280953	0.92665293	0.942412671	0.977167932	1.0	0.228503257	1.0	1.8909527000000014e-06	4.8989605699999916e-05	2.5280477900000055e-05
DYNC1I2	0	0	0	0	1	0.0	0.0	0.0	6.145966535	0.21565044	0.675758379	0.426403909	0.140498167	0.813667722	0.942412671	0.977167932	1.0	0.228548463	1.0	1.9434214299999862e-05	0.0002414545905999994	8.46497270999993e-05
USP8	0	2	0	0	2	1.354253727	0.0	0.0	5.352619781	0.689021059	0.624720885	0.817733226	0.073267323	0.86301035	0.942412671	0.977167932	1.0	0.228560163	1.0	9.031816699999989e-06	0.00014068342569999938	4.6174787300000105e-05
ERVW-1	0	2	1	0	0	2.560621536	23.71582201	23.71582201	0.0	0.256531553	0.036063486	0.060002876	1.0	0.813667722	0.942412671	0.977167932	1.0	0.228812736	1.0	1.5740548000000007e-06	3.285058739999984e-05	1.116457799999996e-05
GALK1	0	1	1	0	0	1.625555322	40.78703059	40.78703059	0.0	0.655977252	0.019653615	0.060108848	1.0	0.849898537	0.942412671	0.977167932	1.0	0.229110777	1.0	1.400477599999998e-06	6.286382449999971e-05	2.793831890000006e-05
CCDC120	0	0	0	0	1	0.0	0.0	0.0	5.125269697	0.165500704	0.769563284	0.36658822	0.164012366	0.813667722	0.942412671	0.977167932	1.0	0.229156193	1.0			
TIMM21	0	1	0	0	1	1.896563408	0.0	0.0	12.46052254	0.566139585	0.755992611	0.807806619	0.074452559	0.823347409	0.942412671	0.977167932	1.0	0.22920755	1.0	7.486745e-07	1.1427003199999987e-05	4.487363999999998e-06
ZNF300	1	2	0	0	2	1.347618737	0.0	0.0	5.473097551	0.69345423	0.679367081	0.848626324	0.070902108	0.86497524	0.942412671	0.977167932	1.0	0.229280982	1.0	4.104040099999984e-06	6.564815150000048e-05	2.5236441100000015e-05
ALG10	0	0	0	0	1	0.0	0.0	0.0	6.445302053	0.216726332	0.766123054	0.446476263	0.134828989	0.813667722	0.942412671	0.977167932	1.0	0.229361212	1.0	8.318368999999999e-07	1.5739542999999954e-05	6.1075243999999974e-06
RCE1	0	2	1	0	0	2.638660283	22.67368905	22.67368905	0.0	0.243557792	0.037929219	0.060435256	1.0	0.813667722	0.942412671	0.977167932	1.0	0.230027621	1.0	8.796253000000012e-07	3.166352989999992e-05	1.4221873699999994e-05
SNAPC2	1	0	1	0	0	0.0	20.6729717	20.6729717	0.0	0.229303213	0.042061995	0.060473704	1.0	0.813667722	0.942412671	0.977167932	1.0	0.230135502	1.0	4.748176999999999e-07	1.4178834299999993e-05	7.090459699999992e-06
DZIP3	0	1	0	0	2	0.770388246	0.0	0.0	5.466875698	0.788108501	0.6172495	0.852052387	0.071021434	0.909354308	0.942412671	0.977167932	1.0	0.23024849	1.0	5.637811600000009e-06	8.593474460000094e-05	3.02432017999999e-05
SYNPR	0	1	1	0	0	2.108290179	35.99392222	35.99392222	0.0	0.510200347	0.022599083	0.060554029	1.0	0.815288999	0.942412671	0.977167932	1.0	0.230360805	1.0	1.6686907e-06	4.501478799999981e-05	2.0985347300000028e-05
GPR158	1	1	1	0	1	0.481024419	6.542410544	6.542410544	3.189143703	0.414059931	0.152692127	0.2521838	0.240275133	0.813667722	0.942412671	0.977167932	1.0	0.230471465	1.0	2.1688557e-06	3.74976125999998e-05	1.51087273e-05
FAM102B	0	3	0	0	0	5.878484038	0.0	0.0	0.0	0.019017747	0.751456234	0.060618753	1.0	0.813667722	0.942412671	0.977167932	1.0	0.23054227	1.0	7.865993000000004e-07	1.8760509399999975e-05	6.7039378999999925e-06
ADRA2A	0	0	0	0	1	0.0	0.0	0.0	6.434436747	0.210540776	0.853895815	0.449112576	0.135026757	0.813667722	0.942412671	0.977167932	1.0	0.230608032	1.0	5.060160999999999e-07	1.4427497800000014e-05	7.003256600000001e-06
RCOR3	1	0	0	0	1	0.0	0.0	0.0	5.886596183	0.196468798	0.768559279	0.416176213	0.145810429	0.813667722	0.942412671	0.977167932	1.0	0.230721859	1.0	3.0014384000000107e-06	8.202359260000016e-05	2.482549980000023e-05
